b'Position,Track Name,Artist,URL,,,
1,City Boy,Calpurnia,https://open.spotify.com/track/7gZ31tLr8IUW2rAO44outL,,,
1,City Boy,Calpurnia,https://open.spotify.com/track/7gZ31tLr8IUW2rAO44outL,,,
1,Zombie,Bad Wolves,https://open.spotify.com/track/1vNoA9F5ASnlBISFekDmg3,,,
1,Zombie,Bad Wolves,https://open.spotify.com/track/1vNoA9F5ASnlBISFekDmg3,,,
1,Zombie,Bad Wolves,https://open.spotify.com/track/1vNoA9F5ASnlBISFekDmg3,,,
1,Zombie,Bad Wolves,https://open.spotify.com/track/1vNoA9F5ASnlBISFekDmg3,,,
1,Zombie,Bad Wolves,https://open.spotify.com/track/1vNoA9F5ASnlBISFekDmg3,,,
1,Freaky Friday (feat. Chris Brown),Lil Dicky,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ,,,
1,Freaky Friday (feat. Chris Brown),Lil Dicky,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ,,,
1,Freaky Friday (feat. Chris Brown),Lil Dicky,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ,,,
1,Found/Tonight,Ben Platt,https://open.spotify.com/track/0ileL1L3Vtpf5VZ5RQZ94m,,,
1,Found/Tonight,Ben Platt,https://open.spotify.com/track/0ileL1L3Vtpf5VZ5RQZ94m,,,
1,Found/Tonight,Ben Platt,https://open.spotify.com/track/0ileL1L3Vtpf5VZ5RQZ94m,,,
1,Found/Tonight,Ben Platt,https://open.spotify.com/track/0ileL1L3Vtpf5VZ5RQZ94m,,,
1,Found/Tonight,Ben Platt,https://open.spotify.com/track/0ileL1L3Vtpf5VZ5RQZ94m,,,
1,Rest in Grease,at Wendys,https://open.spotify.com/track/6z3OqNtss7x8e1pNrt7gBm,,,
1,Rest in Grease,at Wendys,https://open.spotify.com/track/6z3OqNtss7x8e1pNrt7gBm,,,
1,Rest in Grease,at Wendys,https://open.spotify.com/track/6z3OqNtss7x8e1pNrt7gBm,,,
1,Rest in Grease,at Wendys,https://open.spotify.com/track/6z3OqNtss7x8e1pNrt7gBm,,,
1,Freaky Friday (feat. Chris Brown),Lil Dicky,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ,,,
1,Freaky Friday (feat. Chris Brown),Lil Dicky,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ,,,
1,Call Out My Name,The Weeknd,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N,,,
1,Call Out My Name,The Weeknd,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N,,,
1,Call Out My Name,The Weeknd,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N,,,
1,Call Out My Name,The Weeknd,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N,,,
1,Call Out My Name,The Weeknd,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N,,,
1,Call Out My Name,The Weeknd,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N,,,
1,Call Out My Name,The Weeknd,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N,,,
1,Nice For What,Drake,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN,,,
1,Nice For What,Drake,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN,,,
1,Nice For What,Drake,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN,,,
1,Nice For What,Drake,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN,,,
1,Nice For What,Drake,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN,,,
1,Yodeling Walmart Kid,Charles Goose,https://open.spotify.com/track/64kCQGFNZHn3xRffxdxqfv,,,
1,Yodeling Walmart Kid,Charles Goose,https://open.spotify.com/track/64kCQGFNZHn3xRffxdxqfv,,,
1,Yodeling Walmart Kid,Charles Goose,https://open.spotify.com/track/64kCQGFNZHn3xRffxdxqfv,,,
1,Yodeling Walmart Kid,Charles Goose,https://open.spotify.com/track/64kCQGFNZHn3xRffxdxqfv,,,
1,Guatemala (feat. Slim Jxmmi) - From Swaecation,Rae Sremmurd,https://open.spotify.com/track/6sTDhYVVXU3HSDuG7mBLRU,,,
1,Guatemala (feat. Slim Jxmmi) - From Swaecation,Rae Sremmurd,https://open.spotify.com/track/6sTDhYVVXU3HSDuG7mBLRU,,,
1,Te Bot\xc3\xa9 - Remix,Nio Garcia,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i,,,
1,Te Bot\xc3\xa9 - Remix,Nio Garcia,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i,,,
1,Te Bot\xc3\xa9 - Remix,Nio Garcia,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i,,,
1,no tears left to cry,Ariana Grande,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9,,,
1,no tears left to cry,Ariana Grande,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9,,,
1,no tears left to cry,Ariana Grande,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9,,,
1,no tears left to cry,Ariana Grande,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9,,,
1,no tears left to cry,Ariana Grande,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9,,,
1,no tears left to cry,Ariana Grande,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9,,,
1,All Girls Are The Same,Juice WRLD,https://open.spotify.com/track/1dNyRyz1QBN9kO1etUs1PI,,,
1,Famous,Mason Ramsey,https://open.spotify.com/track/2HGymMoOdB4ZYv0AAqYmgF,,,
1,Famous,Mason Ramsey,https://open.spotify.com/track/2HGymMoOdB4ZYv0AAqYmgF,,,
1,Famous,Mason Ramsey,https://open.spotify.com/track/2HGymMoOdB4ZYv0AAqYmgF,,,
1,Famous,Mason Ramsey,https://open.spotify.com/track/2HGymMoOdB4ZYv0AAqYmgF,,,
1,Famous,Mason Ramsey,https://open.spotify.com/track/2HGymMoOdB4ZYv0AAqYmgF,,,
1,Famous,Mason Ramsey,https://open.spotify.com/track/2HGymMoOdB4ZYv0AAqYmgF,,,
1,Famous,Mason Ramsey,https://open.spotify.com/track/2HGymMoOdB4ZYv0AAqYmgF,,,
1,Famous,Mason Ramsey,https://open.spotify.com/track/2HGymMoOdB4ZYv0AAqYmgF,,,
1,Famous,Mason Ramsey,https://open.spotify.com/track/2HGymMoOdB4ZYv0AAqYmgF,,,
1,This Is America,Childish Gambino,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9,,,
1,This Is America,Childish Gambino,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9,,,
1,This Is America,Childish Gambino,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9,,,
1,This Is America,Childish Gambino,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9,,,
1,This Is America,Childish Gambino,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9,,,
1,New Light,John Mayer,https://open.spotify.com/track/3bH4HzoZZFq8UpZmI2AMgV,,,
1,New Light,John Mayer,https://open.spotify.com/track/3bH4HzoZZFq8UpZmI2AMgV,,,
1,New Light,John Mayer,https://open.spotify.com/track/3bH4HzoZZFq8UpZmI2AMgV,,,
1,New Light,John Mayer,https://open.spotify.com/track/3bH4HzoZZFq8UpZmI2AMgV,,,
1,Toy,Netta,https://open.spotify.com/track/7vuTcvFnvlqWlWb4u60nvY,,,
1,Toy,Netta,https://open.spotify.com/track/7vuTcvFnvlqWlWb4u60nvY,,,
1,Wake Me When It\'s Quiet,Hilda,https://open.spotify.com/track/5JCZ1e1ahbCkzwX62BbsY7,,,
1,Yes Indeed,Lil Baby,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ,,,
1,Yes Indeed,Lil Baby,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ,,,
1,FAKE LOVE,BTS,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo,,,
1,FAKE LOVE,BTS,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo,,,
1,FAKE LOVE,BTS,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo,,,
1,FAKE LOVE,BTS,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo,,,
1,Yes Indeed,Lil Baby,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ,,,
1,Lucid Dreams,Juice WRLD,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc,,,
1,Lucid Dreams,Juice WRLD,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc,,,
1,Lucid Dreams,Juice WRLD,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc,,,
1,Lucid Dreams,Juice WRLD,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc,,,
1,Lucid Dreams,Juice WRLD,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc,,,
1,Lucid Dreams,Juice WRLD,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc,,,
1,Lucid Dreams,Juice WRLD,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc,,,
1,Africa,Weezer,https://open.spotify.com/track/36Pim2ANczp82lCWIb8GHy,,,
1,Africa,Weezer,https://open.spotify.com/track/36Pim2ANczp82lCWIb8GHy,,,
1,Give Yourself A Try,The 1975,https://open.spotify.com/track/619pVMIK3WvX529JIkQTY3,,,
1,Africa,Weezer,https://open.spotify.com/track/36Pim2ANczp82lCWIb8GHy,,,
1,Lucid Dreams,Juice WRLD,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc,,,
1,Lucid Dreams,Juice WRLD,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc,,,
1,Lucid Dreams,Juice WRLD,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc,,,
1,Midsummer Madness,88rising,https://open.spotify.com/track/0wFmawqundY8rOn9sZUqA6,,,
1,Midsummer Madness,88rising,https://open.spotify.com/track/0wFmawqundY8rOn9sZUqA6,,,
1,Midsummer Madness,88rising,https://open.spotify.com/track/0wFmawqundY8rOn9sZUqA6,,,
1,Reborn,KIDS SEE GHOSTS,https://open.spotify.com/track/4RVbK6cV0VqWdpCDcx3hiT,,,
1,Reborn,KIDS SEE GHOSTS,https://open.spotify.com/track/4RVbK6cV0VqWdpCDcx3hiT,,,
1,Reborn,KIDS SEE GHOSTS,https://open.spotify.com/track/4RVbK6cV0VqWdpCDcx3hiT,,,
1,Reborn,KIDS SEE GHOSTS,https://open.spotify.com/track/4RVbK6cV0VqWdpCDcx3hiT,,,
1,Bigger Than You (feat. Drake & Quavo),2 Chainz,https://open.spotify.com/track/5S1IUPueD0xE0vj4zU3nSf,,,
